Sr. No.,Category,Sub Category,States/UTs/District,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
38,State,Uttara Pradesh,Jaunpur,46,59,34,18,0,18,90,68,22,1,0,29,55,172,77,95,67,35,174,3,2,373,47,30,25,136,0,193,541,2130
39,State,Uttara Pradesh,Jhansi,40,14,22,14,0,14,43,36,7,1,0,13,46,201,131,70,17,23,63,4,0,29,27,33,35,9,0,42,468,1144
40,State,Uttara Pradesh,Kannauj,41,26,12,8,0,8,56,48,8,2,0,9,13,78,33,45,20,33,44,1,2,20,25,28,8,85,0,128,539,1178
41,State,Uttara Pradesh,Kanpur Nagar,33,34,20,17,0,17,88,82,6,0,0,12,22,117,45,72,90,40,59,0,3,264,22,34,16,113,0,204,602,1790
42,State,Uttara Pradesh,Kanshiram Nagar,143,84,45,40,0,40,282,227,55,16,0,114,229,1094,745,349,187,223,403,34,3,446,73,109,210,551,0,449,2077,6812
43,State,Uttara Pradesh,Kaushambi,44,41,17,15,0,15,42,30,12,2,0,6,17,79,30,49,24,13,30,1,11,128,29,22,5,26,0,156,246,954
44,State,Uttara Pradesh,Khiri,50,17,17,15,0,15,41,30,11,0,0,21,55,84,19,65,34,24,32,3,0,108,27,49,12,86,0,117,528,1320
45,State,Uttara Pradesh,Kushi Nagar,67,52,36,37,0,37,88,83,5,1,0,19,42,261,120,141,21,20,89,0,2,291,40,59,36,68,0,203,927,2359
46,State,Uttara Pradesh,Lalitpur,24,10,18,9,0,9,20,18,2,0,0,2,11,41,17,24,21,25,67,0,2,116,22,7,5,21,0,148,475,1044
47,State,Uttara Pradesh,Lucknow,21,6,11,13,0,13,12,9,3,2,0,4,13,54,14,40,30,9,40,2,1,8,8,19,12,25,0,63,260,613
48,State,Uttara Pradesh,Maharajganj,114,86,26,56,0,56,323,306,17,15,1,101,658,2533,1301,1232,244,498,915,19,2,48,53,178,256,664,0,503,5131,12424
49,State,Uttara Pradesh,Mahoba,28,6,9,17,0,17,28,28,0,1,0,12,19,46,16,30,12,13,83,3,3,59,17,12,13,38,0,99,314,832
50,State,Uttara Pradesh,Mainpuri,16,6,8,11,0,11,24,22,2,0,0,11,34,48,19,29,16,19,32,1,0,27,17,26,6,15,0,49,192,558
51,State,Uttara Pradesh,Mathura,75,75,13,16,0,16,83,64,19,2,3,25,42,225,127,98,36,28,37,4,1,172,36,38,20,30,0,209,606,1776
52,State,Uttara Pradesh,Mau,87,93,19,20,0,20,76,59,17,4,0,36,59,587,364,223,99,104,309,13,3,110,25,42,42,197,0,375,1694,3994
53,State,Uttara Pradesh,Meerut,29,46,17,15,0,15,50,46,4,0,0,15,34,139,43,96,58,29,48,2,2,115,10,22,31,60,0,139,163,1024
54,State,Uttara Pradesh,Mirzapur,175,165,25,46,0,46,193,141,52,5,1,90,130,1218,807,411,136,91,274,27,0,23,41,47,123,361,0,382,1822,5375
55,State,Uttara Pradesh,Moradabad,32,6,14,11,0,11,14,12,2,3,1,9,34,120,39,81,8,33,76,1,0,105,19,9,4,178,0,87,432,1196
56,State,Uttara Pradesh,Muzaffarnagar,133,111,28,69,0,69,197,159,38,6,0,52,116,662,281,381,56,67,186,8,0,53,32,63,61,264,0,261,1583,4008
57,State,Uttara Pradesh,Pilibhit,195,186,49,58,0,58,162,138,24,14,4,92,74,551,285,266,146,75,195,7,4,19,27,64,86,340,0,262,1507,4117
58,State,Uttara Pradesh,Pratapgarh,30,24,7,15,0,15,61,56,5,1,0,8,21,91,26,65,6,38,67,0,0,3,27,37,15,186,0,98,1099,1834
59,State,Uttara Pradesh,Raibareilly,42,59,20,22,0,22,84,73,11,1,0,17,89,165,53,112,91,37,72,3,12,232,27,35,12,99,0,118,726,1963
60,State,Uttara Pradesh,Ramabai Nagar,62,41,22,30,0,30,67,59,8,1,0,12,48,165,37,128,42,39,92,2,2,263,29,46,41,114,0,224,832,2174
61,State,Uttara Pradesh,Rampur,82,93,14,51,0,51,105,90,15,20,4,76,100,374,125,249,86,61,190,4,1,7,24,48,16,3,0,153,922,2434
62,State,Uttara Pradesh,Saharanpur,77,48,33,14,0,14,41,36,5,0,15,24,38,362,174,188,42,43,156,3,0,23,35,29,39,139,0,209,1051,2421
63,State,Uttara Pradesh,Sant Kabirnagar,11,7,7,13,0,13,29,29,0,0,0,15,18,83,32,51,10,22,45,1,0,163,9,9,15,2,0,67,438,964
64,State,Uttara Pradesh,Shahjahanpur,107,123,35,43,0,43,107,105,2,5,0,26,49,223,61,162,37,40,107,1,0,158,54,53,16,11,0,267,969,2431
65,State,Uttara Pradesh,Shrawasti,12,6,4,8,0,8,23,23,0,0,0,9,21,53,5,48,30,16,34,0,0,146,9,27,4,28,0,29,157,616
66,State,Uttara Pradesh,Sidharthnagar,14,8,7,9,0,9,30,29,1,0,0,14,25,103,47,56,17,14,19,1,0,53,14,23,6,20,0,76,247,700
67,State,Uttara Pradesh,Sitapur,100,65,34,61,0,61,156,144,12,2,1,35,102,315,66,249,37,54,90,3,2,213,75,74,47,84,0,48,1574,3172
68,State,Uttara Pradesh,Sonbhadra,37,10,25,25,0,25,30,25,5,0,0,8,25,85,40,45,11,34,73,1,6,83,11,16,20,36,0,113,313,962
69,State,Uttara Pradesh,St. Ravidasnagar,9,15,2,3,0,3,9,5,4,0,0,4,17,71,33,38,9,7,20,0,0,57,10,9,7,24,0,46,122,441
70,State,Uttara Pradesh,Sultanpur,38,71,27,16,0,16,71,63,8,1,0,21,86,248,109,139,49,64,65,0,25,370,28,35,35,60,0,199,774,2283
71,State,Uttara Pradesh,Unnao,55,52,28,48,0,48,96,85,11,10,0,26,50,189,59,130,39,47,64,1,0,179,40,61,14,100,0,207,476,1782
72,State,Uttara Pradesh,Varanasi,32,43,11,10,0,10,41,35,6,1,0,16,109,693,523,170,56,94,219,13,6,186,29,12,72,107,0,246,1152,3148
Total,Total,Total,Total,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,172884
1,State,Uttarkhand,Almora,9,3,3,4,0,4,5,5,0,1,0,12,20,37,0,37,15,5,11,0,1,38,4,4,0,11,0,25,38,246
2,State,Uttarkhand,Bageshwar,3,0,1,3,0,3,1,1,0,0,0,1,6,2,0,2,1,2,4,0,1,2,2,1,1,2,0,6,30,69
3,State,Uttarkhand,Chamoli,3,1,1,1,0,1,0,0,0,0,0,0,12,21,5,16,9,1,8,0,0,16,0,2,0,2,0,1,34,112
4,State,Uttarkhand,Champawat,4,5,2,1,0,1,2,2,0,0,0,1,2,12,7,5,5,2,2,2,2,16,2,5,0,0,0,10,7,82
5,State,Uttarkhand,Dehradun,24,41,11,30,0,30,76,60,16,16,3,51,113,476,189,287,146,46,212,12,3,271,11,30,110,133,0,121,489,2425
6,State,Uttarkhand,Haridwar,67,58,11,26,0,26,68,60,8,6,3,50,54,391,204,187,122,48,172,8,7,512,22,30,112,107,0,181,213,2268
7,State,Uttarkhand,Nainital,24,20,3,14,0,14,37,37,0,7,0,17,37,180,75,105,42,8,31,4,0,11,23,14,17,19,0,80,340,928
8,State,Uttarkhand,Pauri Garhwal,8,3,2,4,0,4,13,13,0,1,1,9,11,36,11,25,2,6,17,0,0,37,6,3,4,9,0,12,41,225
9,State,Uttarkhand,Pithoragarh,2,3,2,0,0,0,1,1,0,0,0,2,12,13,0,13,11,0,1,0,3,19,1,3,0,4,0,0,73,150
10,State,Uttarkhand,Rudra Prayag,0,0,0,2,0,2,2,2,0,0,0,0,4,5,3,2,4,1,3,0,0,4,3,0,2,4,0,12,13,59
11,State,Uttarkhand,Tehri Garhwal,0,2,2,1,0,1,3,3,0,0,0,0,11,16,8,8,1,2,7,0,0,3,1,3,0,2,0,19,41,114
12,State,Uttarkhand,Udhamsingh Nagar,50,49,12,21,0,21,60,58,2,4,0,36,73,403,232,171,106,32,73,17,0,264,19,21,0,65,0,218,500,2023
13,State,Uttarkhand,Uttarkashi,1,0,1,4,0,4,7,5,2,0,0,0,8,9,1,8,2,3,3,0,0,5,0,3,3,3,0,0,49,101
Total,Total,Total,Total,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,8802
1,State,West Bengal,24 Parganas North,229,238,241,166,0,166,368,249,119,21,99,88,22,1959,491,1468,778,224,257,8,25,285,54,203,3,2225,0,4,5549,13046
2,State,West Bengal,24 Parganas South,212,3,35,280,0,280,128,128,0,17,176,52,11,1982,430,1552,1233,9,119,3,10,264,63,120,1,2542,0,23,6341,13624
3,State,West Bengal,Asansol,32,7,10,13,0,13,27,17,10,4,39,12,6,283,138,145,61,18,45,0,5,65,17,14,0,211,0,111,381,1361
4,State,West Bengal,Bankura,69,28,10,33,0,33,36,31,5,4,18,33,6,215,46,169,161,12,17,1,10,166,28,46,1,172,0,146,374,1586
5,State,West Bengal,Birbhum,92,22,20,52,0,52,52,49,3,7,28,29,12,445,116,329,346,7,70,2,20,363,18,60,0,298,0,199,560,2702
6,State,West Bengal,Burdwan,129,52,66,55,0,55,135,12,123,11,37,37,15,744,257,487,541,4,179,7,19,55,30,25,9,710,0,915,1781,5556
7,State,West Bengal,Coochbehar,52,140,7,139,0,139,151,139,12,8,2,9,4,329,72,257,126,34,53,3,4,120,13,76,0,508,0,114,1573,3465
8,State,West Bengal,Dakshin Dinajpur,28,97,9,49,0,49,56,51,5,0,6,5,9,126,23,103,14,8,20,3,7,513,7,76,1,211,0,95,262,1602
9,State,West Bengal,Darjeeling,50,2,11,54,0,54,50,40,10,6,19,8,8,635,211,424,68,51,22,5,7,813,2,55,2,141,0,135,485,2629
10,State,West Bengal,Hooghly,98,37,71,48,0,48,94,79,15,11,56,35,16,571,135,436,573,45,160,7,82,186,25,24,0,629,0,182,1114,4064
11,State,West Bengal,Howrah,93,13,27,39,0,39,130,112,18,10,45,23,17,878,225,653,267,27,203,2,0,53,21,76,0,743,0,396,2437,5500
12,State,West Bengal,Howrah G.R.P.,13,15,3,1,0,1,2,1,1,1,3,6,0,316,0,316,0,0,10,0,0,0,1,2,0,1,0,0,81,455
13,State,West Bengal,Jalpaiguri,112,100,31,193,0,193,206,177,29,7,4,69,52,1310,235,1075,106,65,63,10,22,454,11,136,0,646,0,243,2605,6445
14,State,West Bengal,Kharagpur G.R.P.,6,1,0,0,0,0,0,0,0,0,1,2,0,117,0,117,1,1,4,0,0,1,0,0,0,3,0,1,23,161
15,State,West Bengal,Kolkata,41,71,42,42,0,42,129,107,22,2,36,40,90,3078,433,2645,253,280,1433,37,0,1866,10,201,90,411,4,424,5035,13615
16,State,West Bengal,Malda,74,152,42,197,0,197,178,132,46,9,17,21,5,339,149,190,70,1,64,35,0,525,10,131,0,567,0,0,1490,3927
17,State,West Bengal,Murshidabad,184,607,53,568,0,568,408,342,66,22,54,73,11,857,166,691,745,39,220,12,49,2994,51,348,1,3035,0,269,1708,12308
18,State,West Bengal,Nadia,135,372,81,175,0,175,297,276,21,28,30,69,21,1288,175,1113,197,37,176,9,18,1709,44,118,0,1508,1,195,2198,8706
19,State,West Bengal,Paschim Midnapur,198,68,123,57,0,57,79,79,0,15,12,29,6,379,140,239,441,39,43,2,34,142,31,83,0,567,0,2,1367,3717
20,State,West Bengal,Purab Midnapur,81,6,28,41,0,41,90,74,16,10,8,18,9,446,141,305,491,1,50,0,21,0,40,33,0,475,0,167,1634,3649
21,State,West Bengal,Purulia,71,0,5,53,0,53,27,0,27,8,10,43,1,190,35,155,108,4,36,0,0,0,9,30,0,170,0,0,741,1506
22,State,West Bengal,Sealdah G.R.P.,15,2,1,1,0,1,6,6,0,1,11,15,0,221,2,219,21,3,13,1,0,25,3,7,0,5,0,0,22,373
23,State,West Bengal,Siliguri G.R.P.,2,0,1,0,0,0,1,1,0,2,0,2,0,73,0,73,0,0,1,0,0,0,0,3,0,0,0,0,31,116
24,State,West Bengal,Uttar Dinajpur,52,86,14,80,0,80,100,85,15,10,13,33,8,352,89,263,99,9,40,6,11,597,18,75,0,334,0,2,984,2923
Total,Total,Total,Total,2068,2119,931,2336,0,2336,2750,2187,563,214,724,751,329,17133,3709,13424,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,113036
1,State,A & N Islands,Andaman,15,4,3,18,0,18,16,14,2,0,0,11,83,134,10,124,11,6,19,2,12,87,1,29,7,21,0,2,440,921
2,State,A & N Islands,Nicobar,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,11,20
Total,Total,Total,Total,15,4,4,18,0,18,16,14,2,0,0,11,86,134,10,124,11,7,20,2,12,89,1,30,7,21,0,2,451,941
1,State,Chandigarh,Chandigarh,22,18,8,29,0,29,40,36,4,4,3,27,241,1731,1117,614,66,38,193,4,4,63,2,26,2,51,0,7,976,3555
Total,Total,Total,Total,22,18,8,29,0,29,40,36,4,4,3,27,241,1731,1117,614,66,38,193,4,4,63,2,26,2,51,0,7,976,3555
1,State,D & N Haveli,D& N Haveli,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,442
Total,Total,Total,Total,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,442
1,State,Daman & Diu,Daman,5,4,1,1,0,1,0,0,0,0,0,4,30,31,18,13,19,7,3,1,3,11,0,4,1,1,0,27,55,208
2,State,Daman & Diu,Diu,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,1,10,1,1,2,0,3,0,0,0,2,0,13,23,68
Total,Total,Total,Total,5,4,1,1,0,1,0,0,0,0,0,4,33,41,27,14,29,8,4,3,3,14,0,4,1,3,0,40,78,276
1,State,Delhi UT,Caw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,192,0,0,0,194
2,State,Delhi UT,Central,28,25,8,28,0,28,93,49,44,0,1,33,107,1375,789,586,4,34,120,5,1,174,6,34,5,62,0,6,684,2833
3,State,Delhi UT,Crime Branch,1,8,0,2,0,2,0,0,0,0,0,1,0,4,0,4,0,0,39,6,0,0,0,0,0,0,0,0,30,91
4,State,Delhi UT,East,56,50,5,52,0,52,299,187,112,9,2,52,196,3015,2022,993,9,41,146,4,8,231,10,81,10,121,0,194,1788,6379
5,State,Delhi UT,Eow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,184,0,0,0,0,1,1,0,0,0,0,190
6,State,Delhi UT,GRP(Rly),9,5,0,4,0,4,11,5,6,2,0,10,1,725,29,696,0,8,7,0,0,10,1,0,0,1,0,0,70,864
7,State,Delhi UT,IGI Airport,1,0,1,0,0,0,2,0,2,1,0,1,0,66,19,47,0,0,437,1,0,0,0,2,0,0,0,9,48,569
8,State,Delhi UT,New Delhi,5,3,2,6,0,6,46,17,29,2,0,14,45,581,197,384,3,26,127,12,1,31,1,17,7,7,0,68,488,1492
9,State,Delhi UT,North,44,19,6,19,0,19,140,81,59,1,0,24,77,1107,488,619,4,30,108,5,2,132,8,35,18,49,0,11,1069,2908
10,State,Delhi UT,North-East,74,56,5,47,0,47,375,246,129,5,0,53,117,2086,1434,652,7,22,100,2,3,274,15,67,9,138,0,182,1083,4720
11,State,Delhi UT,North-West,56,48,4,54,0,54,218,137,81,6,12,118,233,2159,1301,858,6,21,101,0,4,150,13,39,0,120,0,21,1293,4676
12,State,Delhi UT,Outer,74,44,10,41,0,41,332,204,128,3,1,21,217,1974,1295,679,6,29,99,0,8,227,21,61,6,173,0,24,1598,4969
13,State,Delhi UT,South,42,16,4,42,0,42,133,97,36,0,28,36,241,2506,1693,813,7,28,168,3,1,110,10,45,23,61,0,25,1824,5353
14,State,Delhi UT,South-East,48,29,5,59,0,59,318,237,81,1,16,62,174,2641,1684,957,3,51,141,3,1,249,18,78,30,63,0,271,2006,6267
15,State,Delhi UT,South-West,65,27,15,52,0,52,241,170,71,4,1,44,133,1341,851,490,5,14,81,1,0,118,17,53,3,79,0,21,1295,3610
16,State,Delhi UT,STF,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,9,25
17,State,Delhi UT,West,49,35,19,63,0,63,328,225,103,2,8,46,192,2151,1422,729,3,24,135,1,5,231,21,38,6,217,0,14,1523,5111
Total,Total,Total,Total,552,369,84,469,0,469,2536,1655,881,36,69,515,1733,21731,13224,8507,57,333,2000,47,34,1938,141,552,118,1283,0,846,14808,50251
1,State,Lakshadweep,Lakshadweep,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,134
Total,Total,Total,Total,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,134
1,State,Puducherry,Karaikal,6,2,0,0,0,0,1,1,0,0,0,0,21,51,22,29,25,0,5,0,1,207,0,16,2,0,0,49,338,724
2,State,Puducherry,Puducherry,31,23,5,1,0,1,17,12,5,7,5,9,50,660,480,180,116,7,42,5,10,694,0,37,14,10,0,184,1940,3867
Total,Total,Total,Total,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,4591
Total (All India),Total (All India),Total (All India),Total (All India),32369,29038,3930,21397,2,21395,33860,25741,8119,4586,2850,22409,92070,324195,140027,184168,62942,16326,72718,2935,8736,279214,8383,38711,11009,89546,48,98532,865541,2121345
